Index,price_per_ping,price_per_ping_sd,price_per_ping_log
20253,154525,-0.10905043548278194,11.948117645951285
20254,2738,-0.5861039724342487,7.915348169263078
20255,134386,-0.1723455871141179,11.80847897620243
20256,205216,0.050267034666880456,12.23182323485111
20257,190595,0.004314484291898429,12.157911283623156
20258,51439,-0.4330409017953048,10.8481713589115
20259,248889,0.18752753206969763,12.424766310770753
20260,254182,0.20416297760247787,12.445809759025943
20261,270295,0.2548047561533352,12.507272933782863
20262,172216,-0.05344913812392776,12.056510588518826
20263,226824,0.11817912744457088,12.33193407403783
20264,232647,0.13648031757065804,12.357281860631502
20265,129870,-0.18653898821482365,11.77429692908219
20266,155137,-0.10712697191466149,11.952070322379969
20267,65714,-0.3881757997774628,11.093082488916108
20268,229930,0.1279410193442148,12.345534542896331
20269,125668,-0.19974551421685321,11.741406745228918
20270,182537,-0.021011119355020737,12.114713649508161
20271,149764,-0.12401385059360126,11.91682267790623
20272,363000,0.5461686288373314,12.80216086806413
20273,183346,-0.01846850166448244,12.119135811216715
20274,128641,-0.1904016299226995,11.764788631555618
20275,437902,0.7815791977578501,12.989752703645218
20276,133653,-0.17464934331580464,11.803009650038021
20277,192409,0.010015730881065887,12.167383790915062
20278,166376,-0.07180375779357381,12.022011576661976
20279,143325,-0.14425107594511685,11.872877034902077
20280,141734,-0.1492514526393646,11.861714395884835
20281,170940,-0.05745949680517234,12.049073746708748
20282,208988,0.062122107508302535,12.25003689798291
20283,232545,0.1361597403093046,12.35684333390229
20284,189350,0.0004015559547906656,12.15135771454124
20285,54648,-0.4229552897199805,10.908686195175605
20286,12187,-0.5564065749584807,9.408207140105599
20287,161189,-0.08810605440769266,11.990339072390977
20288,153997,-0.11070989424743487,11.944694894298447
20289,77799,-0.35019368013573804,11.261896710166482
20290,241822,0.16531655652082972,12.395961332573044
20291,206015,0.05277822321414881,12.23570911465848
20292,454671,0.8342827281072157,13.027331558853914
20293,187881,-0.004215385191563796,12.143569385176885
20294,150401,-0.12201181416730597,11.921066988281801
20295,157656,-0.09920997072496314,11.968177066144136
20296,172916,-0.05124909809503182,12.06056698956792
20297,471867,0.8883282828742077,13.064454564438309
20298,176412,-0.04026146960786014,12.080583115984526
20299,63361,-0.3955710771888801,11.056619591646689
20300,181908,-0.022988012466700083,12.11126184101725
20301,126078,-0.19845691934278561,11.744663973588171
20302,157295,-0.10034456279700804,11.965884659606706
20303,133028,-0.176613664770176,11.798322428548293
20304,191518,0.0072153942157140655,12.162742299391368
20305,217391,0.0885320165980347,12.289457454464104
20306,139888,-0.15505327248699588,11.848604529971125
20307,132415,-0.17854027125262342,11.793703761105215
20308,166667,-0.0708891697244185,12.02375908870422
20309,55644,-0.4198249470502943,10.926747505407526
20310,166093,-0.07269320254811316,12.020309172131363
20311,146795,-0.133345163230447,11.896799146834917
20312,99098,-0.2832527478850888,11.503874629449811
20313,189218,-1.3308736372567271e-05,12.15066035339086
20314,257778,0.21546489752234896,12.459857907674344
20315,94684,-0.29712557172444115,11.458310871697005
20316,135117,-0.17004811674108514,11.81390374971435
20317,175901,-0.04186749882895417,12.077682300757656
20318,166162,-0.07247634145955056,12.020724513273862
20319,235929,0.14679536239185295,12.371290429840759
20320,197877,0.027201186421070108,12.19540595815493
20321,128668,-0.19031677123587065,11.764998494329452
20322,211674,0.07056397539060892,12.262807358510479
20323,236842,0.14966484317239864,12.37515275334475
20324,281149,0.2889179482585301,12.546643613720347
20325,183209,-0.018899080927280643,12.11838831488529
20326,62416,-0.3985411312278896,11.041592953151035
20327,54642,-0.42297414720594245,10.908576397569082
20328,185301,-0.012324104155208803,12.129742205523353
20329,256182,0.21044880625646625,12.453647311832603
20330,117778,-0.22454310825683738,11.676565266056677
20331,154298,-0.10976387703500962,11.946647557448852
20332,84582,-0.3288752922557364,11.34548857977556
20333,49128,-0.4403041768049884,10.80220477079312
20334,181518,-0.024213749054227816,12.109115610403732
20335,172891,-0.05132767095320668,12.060422401080961
20336,181308,-0.024873761062896595,12.107958036989057
20337,102916,-0.271253100984625,11.541678117117366
20338,128894,-0.18960647259796998,11.766753398415434
20339,162537,-0.0838694058949045,11.998667099568026
20340,141823,-0.1489717332642621,11.862342131226846
20341,156454,-0.10298775374601014,11.960523707678709
20342,54625,-0.4230275767495013,10.908265238866482
20343,163417,-0.08110364128714961,12.004066614459697
20344,202653,0.04221174524679435,12.219255370326987
20345,226354,0.1167019577108836,12.329859842304248
20346,380940,0.6025525118636071,12.850399786474421
20347,238177,0.1538606337989359,12.380773572276068
20348,394196,0.6442149841822421,12.884606063321723
20349,175439,-0.04331952524802549,12.07505238309177
20350,138766,-0.15857962236188336,11.840551546625932
20351,134500,-0.17198729488084055,11.80932691294063
20352,270123,0.2542641748890922,12.506636391812515
20353,181892,-0.02303829909593199,12.111173881082943
20354,257979,0.2160966233020748,12.460637341519128
20355,214440,0.07925727641907485,12.275789921239685
20356,414519,0.708088432049745,12.934876503298154
20357,173481,-0.04947335150028011,12.063829126589326
20358,299716,0.34727243856783124,12.6105939750861
